c1,c2,c3,c4,c7,c8,reg_target,class_target,c2_median_imputed,c7_most_frequent_imputed,c8_ordinal,c1_Male,c7_S,c7_Q
male,22.0,1,0,S,Lower Class,7.25,0,22.0,S,0.0,1.0,0.0,1.0
female,38.0,1,0,C,Upper Class,71.2833,1,38.0,C,2.0,0.0,0.0,0.0
female,26.0,0,0,S,Lower Class,7.925,1,26.0,S,0.0,0.0,0.0,1.0
female,35.0,1,0,S,Upper Class,53.1,1,35.0,S,2.0,0.0,0.0,1.0
male,35.0,0,0,S,Lower Class,8.05,0,35.0,S,0.0,1.0,0.0,1.0
male,,0,0,Q,Lower Class,8.4583,0,28.0,Q,0.0,1.0,1.0,0.0
male,54.0,0,0,S,Upper Class,51.8625,0,54.0,S,2.0,1.0,0.0,1.0
male,2.0,3,1,S,Lower Class,21.075,0,2.0,S,0.0,1.0,0.0,1.0
female,27.0,0,2,S,Lower Class,11.1333,1,27.0,S,0.0,0.0,0.0,1.0
female,14.0,1,0,C,Middle Class,30.0708,1,14.0,C,1.0,0.0,0.0,0.0
female,4.0,1,1,S,Lower Class,16.7,1,4.0,S,0.0,0.0,0.0,1.0
female,58.0,0,0,S,Upper Class,26.55,1,58.0,S,2.0,0.0,0.0,1.0
male,20.0,0,0,S,Lower Class,8.05,0,20.0,S,0.0,1.0,0.0,1.0
male,39.0,1,5,S,Lower Class,31.275,0,39.0,S,0.0,1.0,0.0,1.0
female,14.0,0,0,S,Lower Class,7.8542,0,14.0,S,0.0,0.0,0.0,1.0
female,55.0,0,0,S,Middle Class,16.0,1,55.0,S,1.0,0.0,0.0,1.0
male,2.0,4,1,Q,Lower Class,29.125,0,2.0,Q,0.0,1.0,1.0,0.0
male,,0,0,S,Middle Class,13.0,1,28.0,S,1.0,1.0,0.0,1.0
female,31.0,1,0,S,Lower Class,18.0,0,31.0,S,0.0,0.0,0.0,1.0
female,,0,0,C,Lower Class,7.225,1,28.0,C,0.0,0.0,0.0,0.0
male,35.0,0,0,S,Middle Class,26.0,0,35.0,S,1.0,1.0,0.0,1.0
male,34.0,0,0,S,Middle Class,13.0,1,34.0,S,1.0,1.0,0.0,1.0
female,15.0,0,0,Q,Lower Class,8.0292,1,15.0,Q,0.0,0.0,1.0,0.0
male,28.0,0,0,S,Upper Class,35.5,1,28.0,S,2.0,1.0,0.0,1.0
female,8.0,3,1,S,Lower Class,21.075,0,8.0,S,0.0,0.0,0.0,1.0
female,38.0,1,5,S,Lower Class,31.3875,1,38.0,S,0.0,0.0,0.0,1.0
male,,0,0,C,Lower Class,7.225,0,28.0,C,0.0,1.0,0.0,0.0
male,19.0,3,2,S,Upper Class,263.0,0,19.0,S,2.0,1.0,0.0,1.0
female,,0,0,Q,Lower Class,7.8792,1,28.0,Q,0.0,0.0,1.0,0.0
male,,0,0,S,Lower Class,7.8958,0,28.0,S,0.0,1.0,0.0,1.0
male,40.0,0,0,C,Upper Class,27.7208,0,40.0,C,2.0,1.0,0.0,0.0
female,,1,0,C,Upper Class,146.5208,1,28.0,C,2.0,0.0,0.0,0.0
female,,0,0,Q,Lower Class,7.75,1,28.0,Q,0.0,0.0,1.0,0.0
male,66.0,0,0,S,Middle Class,10.5,0,66.0,S,1.0,1.0,0.0,1.0
male,28.0,1,0,C,Upper Class,82.1708,0,28.0,C,2.0,1.0,0.0,0.0
male,42.0,1,0,S,Upper Class,52.0,0,42.0,S,2.0,1.0,0.0,1.0
male,,0,0,C,Lower Class,7.2292,1,28.0,C,0.0,1.0,0.0,0.0
male,21.0,0,0,S,Lower Class,8.05,0,21.0,S,0.0,1.0,0.0,1.0
female,18.0,2,0,S,Lower Class,18.0,0,18.0,S,0.0,0.0,0.0,1.0
female,14.0,1,0,C,Lower Class,11.2417,1,14.0,C,0.0,0.0,0.0,0.0
female,40.0,1,0,S,Lower Class,9.475,0,40.0,S,0.0,0.0,0.0,1.0
female,27.0,1,0,S,Middle Class,21.0,0,27.0,S,1.0,0.0,0.0,1.0
male,,0,0,C,Lower Class,7.8958,0,28.0,C,0.0,1.0,0.0,0.0
female,3.0,1,2,C,Middle Class,41.5792,1,3.0,C,1.0,0.0,0.0,0.0
female,19.0,0,0,Q,Lower Class,7.8792,1,19.0,Q,0.0,0.0,1.0,0.0
male,,0,0,S,Lower Class,8.05,0,28.0,S,0.0,1.0,0.0,1.0
male,,1,0,Q,Lower Class,15.5,0,28.0,Q,0.0,1.0,1.0,0.0
female,,0,0,Q,Lower Class,7.75,1,28.0,Q,0.0,0.0,1.0,0.0
male,,2,0,C,Lower Class,21.6792,0,28.0,C,0.0,1.0,0.0,0.0
female,18.0,1,0,S,Lower Class,17.8,0,18.0,S,0.0,0.0,0.0,1.0
